FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
70,141,71,EL PASO,98219,18392,715351,865657,644962,38200,743885,767438,81341,524130,545457,25935,13380,563621,247984.504179000010481,2618676464.440000057220459
71,143,72,ERATH,30006,557,9254,42545,33837,1646,10774,12539,24826,6339,7628,1346,381,9011,216030.411794000014197,2811521392.380000114440918
72,145,73,FALLS,8707,106,3965,16968,13446,4023,7845,8261,7321,2791,5781,3033,78,6125,182265.829449999990175,1995792701.519999980926514
73,147,74,FANNIN,27042,319,4218,35662,28127,2628,6760,8620,21882,2816,4847,2066,237,6245,233231.262755000003381,2322292862.170000076293945
74,149,75,FAYETTE,17041,129,5216,24435,19396,1722,6785,7394,14404,3423,4509,1141,96,4992,208372.553285000001779,2476613137.619999885559082
75,151,76,FISHER,2496,27,973,3672,2862,149,1088,1176,2010,689,765,87,17,852,192921.201562000002014,2327304447.070000171661377
76,153,77,FLOYD,2079,39,3067,5402,3929,207,3228,3323,1736,2023,2135,127,18,2193,202953.052311000006739,2566208606.230000019073486
77,155,78,FOARD,845,12,197,1095,899,33,220,250,727,136,148,19,9,172,240841.365229999995790,1829430012.519999980926514
78,157,79,FORT BEND,243726,194276,198580,822779,596993,183786,375485,579053,187278,135560,262022,129868,140171,409715,259612.043317000003299,2284943089.670000076293945
79,159,80,FRANKLIN,7876,104,1455,10359,8023,534,1943,2483,6343,967,1273,329,62,1680,148255.907185999996727,761111923.373999953269958
80,161,81,FREESTONE,12817,143,3155,19435,15292,3038,6112,6618,10431,2086,4440,2385,96,4861,253168.335152999992715,2300608225.750000000000000
81,163,82,FRIO,3053,218,14171,18385,13825,767,14897,15332,2534,10302,10967,693,185,11291,217638.900610999990022,2930210258.889999866485596
82,165,83,GAINES,12554,139,8401,21598,14135,356,8676,9044,8136,5544,5741,216,89,5999,257431.626213999988977,3878648139.150000095367432
83,167,84,GALVESTON,191358,15636,88636,350682,267382,49174,135263,159324,155020,60159,94131,35043,11429,112362,297622.057350000017323,2255960976.309999942779541
84,169,85,GARZA,2162,56,3272,5816,4789,381,3554,3654,1798,2701,2911,257,33,2991,191902.767904000007547,2314066286.889999866485596
85,171,86,GILLESPIE,19884,213,5766,26725,21921,245,5941,6841,17137,3944,4053,135,156,4784,217228.074132000008831,2738666530.670000076293945
86,173,87,GLASSCOCK,710,2,387,1116,844,27,399,406,564,267,277,18,2,280,192857.723450999998022,2324197831.619999885559082
87,175,88,GOLIAD,4246,60,2288,7012,5500,349,2569,2766,3505,1633,1840,250,43,1995,225876.977844000008190,2220566397.289999961853027
88,177,89,GONZALES,8159,122,9897,19653,14689,1391,11074,11494,6868,6585,7487,979,92,7821,219760.643432000011671,2761635304.500000000000000
89,179,90,GRAY,13025,192,6347,21227,16102,1039,7313,8202,10552,4097,4869,804,138,5550,196363.291888999985531,2409847384.420000076293945
90,181,91,GRAYSON,95211,2686,20868,135543,103923,9856,30196,40332,77134,12990,19397,6595,1858,26789,243460.547254000004614,2529908781.739999771118164
91,183,92,GREGG,68050,2137,24040,124239,94003,27498,50879,56189,55477,15040,34535,19755,1572,38526,137899.363206999987597,711578650.031000018119812
92,185,93,GRIMES,16910,195,7361,29268,23045,4217,11400,12358,14091,5011,8192,3249,151,8954,253840.058470999996644,2067581190.220000028610229
93,187,94,GUADALUPE,84063,5607,65233,172706,128222,16066,79288,88643,66985,44169,54385,11044,3780,61237,248573.916993999999249,1844856966.990000009536743
94,189,95,HALE,10693,243,19489,32522,24143,1807,21052,21829,8928,13372,14598,1328,171,15215,204199.973437999986345,2597880637.460000038146973
95,191,96,HALL,1589,30,950,2825,2199,237,1159,1236,1379,617,764,160,11,820,193512.075792999996338,2339636203.590000152587891
96,193,97,HAMILTON,6805,63,1045,8222,6491,68,1104,1417,5506,678,718,45,53,985,200523.776003000006313,2157207863.309999942779541
97,195,98,HANSFORD,2552,15,2615,5285,3776,43,2643,2733,2019,1656,1679,24,10,1757,195640.061608999996679,2392772534.369999885559082
98,197,99,HARDEMAN,2441,30,818,3549,2740,195,983,1108,1998,516,637,134,21,742,200851.502699000004213,1802509187.819999933242798
99,199,100,HARDIN,46934,608,3417,56231,42632,3559,6891,9297,36260,2150,4578,2458,408,6372,275188.106007000023965,2315279434.590000152587891
100,201,101,HARRIS,1309593,392435,2034709,4731145,3519584,981484,2967268,3421552,1075663,1405353,2091400,712166,302348,2443921,399558.481051000009757,4586345313.779999732971191
