cntyvtd,district_id,dem_share,rep_share,pct_white,pct_black,pct_asian,pct_hispanic,polsby_popper,convex_hull_ratio,schwartzberg,reock
19900004B,32,0.0955223880597015,0.8895522388059701,0.6177583126278694,0.09416683242315692,0.025283694966882684,0.23810471774650116,0.3661375743308452,0.7430015264146874,1.652638439500415,0.3319995142061635
19900004C,32,0.0955223880597015,0.8895522388059701,0.7325038806256319,0.08190772656782903,0.0176257145257528,0.14152410839159735,0.47217973069155333,0.8521773068811055,1.4552792262058705,0.4688403997662986
19900004D,32,0.0955223880597015,0.8895522388059701,0.7175718831559276,0.07284345084059879,0.04408945674473003,0.1431309916878524,0.37103735903460205,0.7160334314892435,1.641690102714095,0.31881615739340885
19900004E,32,0.0955223880597015,0.8895522388059701,0.5475504328721634,0.10854947150507686,0.03458213300488052,0.2821005433404073,0.54972418046648,0.8656001679905104,1.3487379566768138,0.6369925863819318
19900004F,32,0.0955223880597015,0.8895522388059701,0.5826893336497803,0.03400309294480911,0.02472952057890075,0.3292117458452515,0.24659980417356636,0.6635819259883073,2.013741110662265,0.30427702589073563
20000001,11,0.0,0.0,0.6007423113026624,0.023329799504024702,0.00795334034564041,0.33616118773629833,0.5314194755416086,0.9188301655816002,1.3717698925214201,0.504074747564911
20000003,11,0.0,0.0,0.6235489241641476,0.023770038758342594,0.009950248661723893,0.31840795842649655,0.5521565224051842,0.9139346396015321,1.3457639695627368,0.5860229105772455
20000004,11,0.0,0.0,0.5611222359007972,0.03807615230401099,0.004008016273353197,0.3907815709139636,0.555326044712473,0.8668300641427669,1.3419180013922145,0.505185631087752
20000005,11,0.0,0.0,0.8602150534652817,0.005376344085613329,0.010752688171226656,0.10215053801050225,0.6682349222255327,0.9072330119387217,1.2233068732224677,0.5223884450953067
20000006,11,0.0,0.0,0.8214285714613903,4.693851049496717e-11,0.0,0.15714285699459818,0.6653210016184659,0.9196483292380053,1.225982818076225,0.5704296489709129
20000007,11,0.0,0.0,0.6720890416263298,0.028253423147226595,0.0008561644456098184,0.27996575382151556,0.3506442822455412,0.7986599609677739,1.688754888690136,0.18097005858829077
20000008,11,0.0,0.0,0.7629310355516701,0.030172413733916967,0.001436781608678436,0.1882183894125542,0.27118851655035436,0.7811954729822373,1.9202790873247866,0.4061528073510205
20000009,11,0.0,0.0,0.6158256882126244,0.012614678914430872,0.005733944959061411,0.3577981649249219,0.4192074811376899,0.8960169603859596,1.5444913764289057,0.36469653166020144
20000010,11,0.0,0.0,0.792105264548527,0.0026315789512917427,0.0026315789724605026,0.17631578812674403,0.4342085010563723,0.8482937817758881,1.5175773604505995,0.5237605229306654
20100111,1,0.41754708314193845,0.5562700964630225,0.5715238402331562,0.27809269851440194,0.004001333796005571,0.1353784596556463,0.41356140371296135,0.7977780703559505,1.5549985902287837,0.4614577085879138
20100112,1,0.42262739597942967,0.5381019167835437,0.656250000156536,0.1474999997038299,0.00749999992409178,0.15750000002760844,0.5413450167801539,0.8715466454633966,1.359136038700429,0.40850103105384317
20100113,1,0.52989449003517,0.44607268464243843,0.7104194848442869,0.11312584605163244,0.008119079745671567,0.12638701048532064,0.6577760937730687,0.9427187949593849,1.2329939831112122,0.5244364744270524
20100114,1,0.30351145038167937,0.673587786259542,0.7089855070086312,0.15304347830343643,0.0069565217078222785,0.09043478260039267,0.4599085024406159,0.8092144037191169,1.4745662201577547,0.3730717664462132
20100201,1,0.8689655172413793,0.09655172413793103,0.49954476290323835,0.21942336941222246,0.004248861545583397,0.2725341443139744,0.2562635741703482,0.6368959714830851,1.9754068729980994,0.39374982984985607
20100212,1,0.6086956521739131,0.34782608695652173,0.7537796950549372,0.14794816417645607,0.004319655669813724,0.0755939534519981,0.28324941258852654,0.7521105070914268,1.878951157946786,0.496133521757303
20100213,1,0.29134412385643915,0.6952850105559465,0.7437070954652963,0.12082379728651257,0.005949656747523849,0.09290617791717119,0.40614779542130625,0.8783567961170888,1.5691264743339115,0.4584543148919246
20100214,1,0.5604681404421327,0.41612483745123535,0.7384615381473275,0.13886639736512407,0.0036437247161789513,0.07692307681346983,0.41907253318847737,0.9113235856905665,1.544740031674613,0.453395520391385
20100215,1,0.5975359342915811,0.3809034907597536,0.6415662630800173,0.1364027569483814,0.004302925950720089,0.18373493865520363,0.3434827074228871,0.7533324384801174,1.706269238909977,0.2848367602738695
20100302,1,0.4337485843714609,0.5362400906002265,0.4116788307960609,0.39416058499397927,0.009489050758751416,0.16934306646841604,0.30475000862954443,0.6593011532177674,1.8114574480006391,0.3696250970895821
20100303,1,0.3334485141672426,0.6475466482377332,0.37386139034452476,0.3504950484362898,0.00792079182313118,0.2574257398891988,0.23354535412895377,0.7162179775892232,2.069256765495877,0.43876975293600873
20100314A,1,0.4403341288782816,0.5328162291169452,0.7946693022034841,0.0908193484573535,0.0039486673908472525,0.08489634491430897,0.4217573805228064,0.8151464179713475,1.539815384394085,0.5805826285209419
20100314B,1,0.4403341288782816,0.5328162291169452,0.25384614783983456,0.06923077062263877,0.0,0.6692307747619299,0.34826611438846367,0.7830532841187533,1.6945109895379413,0.2447786848289894
20100315,1,0.5353302611367128,0.45314900153609833,0.828947369062691,0.05161943303894133,0.001012145754573455,0.08400809678998486,0.4980182761349692,0.8322885009374016,1.4170245016633958,0.49018650541090697
20100316,1,0.6039349871685201,0.38152266894781867,0.8109452683226344,0.12271973949139685,0.0016583747766645881,0.03980099573533487,0.24380351204584344,0.6247604980178741,2.025256437412722,0.4165941624537592
20100317,1,0.7403508771929824,0.22456140350877193,0.518467854789877,0.39671682316895035,0.017783857738349916,0.04103967193685512,0.4461022413546407,0.8979794704748789,1.497210269653388,0.5111588575889782
20100318,1,0.870873786407767,0.10533980582524272,0.7258620693506626,0.17241379282677216,0.006034482743698898,0.0767241379423107,0.3446956744459811,0.7780761788883895,1.7032644546451643,0.45941180439099355
20100319,1,0.8607809847198642,0.1273344651952462,0.5588235314596373,0.4088235274119318,5.558727276667602e-11,0.01764705868883628,0.2904404715053223,0.7835416040933125,1.85554475336004,0.4407446448591647
